,source1,unified_diff,tree_diff
0,C02_ExD.py,0.0,0.0
1,C03_ExD.py,0.5238095238095238,0.7083333333333334
2,C04_ExD.py,0.8095238095238095,0.9583333333333334
3,C05_ExD.py,0.6190476190476191,0.875
4,C06_ExD.py,0.9047619047619048,0.9583333333333334
5,C07_ExD.py,0.0,0.0
6,C08_ExD.py,0.8095238095238095,0.9583333333333334
7,C09_ExD.py,0.9047619047619048,0.9583333333333334
8,C10_ExD.py,0.6190476190476191,0.5833333333333334
9,C11_ExD.py,0.5238095238095238,0.7916666666666666
10,C12_ExD.py,0.9047619047619048,0.9583333333333334
11,C13_ExD.py,0.0,0.0
12,C14_ExD.py,0.0,0.0
13,C15_ExD.py,0.6666666666666666,0.75
14,C16_ExD.py,0.8095238095238095,0.75
15,C17_ExD.py,0.9047619047619048,0.9583333333333334
16,C18_ExD.py,0.9047619047619048,0.9583333333333334
17,C19_ExD.py,0.9047619047619048,0.9583333333333334
18,C20_ExD.py,0.9047619047619048,0.9583333333333334
19,C21_ExD.py,0.5714285714285714,0.7916666666666666
20,C22_ExD.py,0.9047619047619048,0.9583333333333334
21,C23_ExD.py,0.8571428571428571,0.9166666666666666
22,C24_ExD.py,0.8571428571428571,0.9583333333333334
23,C25_ExD.py,0.7619047619047619,0.8333333333333334
24,C26_ExD.py,0.7083333333333334,0.875
25,C27_ExD.py,0.9047619047619048,0.9583333333333334
26,C29_ExD.py,0.9047619047619048,0.9583333333333334
27,C30_ExD.py,0.0,0.0
28,C31_ExD.py,0.6190476190476191,0.7083333333333334
29,C32_ExD.py,0.6190476190476191,0.9583333333333334
30,C33_ExD.py,0.9047619047619048,0.9583333333333334
31,C34_ExD.py,0.6190476190476191,0.8333333333333334
32,C35_ExD.py,0.8571428571428571,1.0
33,C36_ExD.py,0.6666666666666666,0.7916666666666666
34,C37_ExD.py,0.0,0.0
35,C38_ExD.py,0.8095238095238095,0.9583333333333334
36,C39_ExD.py,0.6666666666666666,0.9166666666666666
37,C40_ExD.py,0.9047619047619048,0.9583333333333334
